,Weight,Feature
0,0.0710  ± 0.0106,opinion_seas_risk
1,0.0567  ± 0.0075,doctor_recc_seasonal
2,0.0329  ± 0.0014,opinion_seas_vacc_effective
3,0.0169  ± 0.0024,x0_65+ Years
4,0.0082  ± 0.0062,x0_18 - 34 Years
5,0.0039  ± 0.0018,health_worker
6,0.0032  ± 0.0039,opinion_seas_sick_from_vacc
7,0.0023  ± 0.0014,h1n1_knowledge
8,0.0021  ± 0.0031,x0_35 - 44 Years
9,0.0020  ± 0.0017,x2_Other or Multiple
10,0.0018  ± 0.0020,chronic_med_condition
11,0.0017  ± 0.0013,x10_haxffmxo
12,0.0015  ± 0.0022,x9_Non-MSA
13,0.0014  ± 0.0008,x7_Unemployed
14,0.0013  ± 0.0017,behavioral_outside_home
15,0.0013  ± 0.0007,behavioral_large_gatherings
16,0.0012  ± 0.0007,behavioral_wash_hands
17,0.0010  ± 0.0014,x10_ldnlellj
18,0.0010  ± 0.0003,x11_hfxkjkmi
19,0.0010  ± 0.0004,x11_dcjcmpih
20,… 85 more …,… 85 more …
